timestamp,filename,width,height,encoding,seq
1778586893.720841885,images/frame_000597.pgm,1280,720,mono8,597
1778586893.787675858,images/frame_000598.pgm,1280,720,mono8,598
1778586893.854219913,images/frame_000599.pgm,1280,720,mono8,599
1778586893.921160936,images/frame_000600.pgm,1280,720,mono8,600
1778586893.987847805,images/frame_000601.pgm,1280,720,mono8,601
1778586894.054536819,images/frame_000602.pgm,1280,720,mono8,602
1778586894.121282816,images/frame_000603.pgm,1280,720,mono8,603
1778586894.187937975,images/frame_000604.pgm,1280,720,mono8,604
1778586894.254612923,images/frame_000605.pgm,1280,720,mono8,605
1778586894.321312904,images/frame_000606.pgm,1280,720,mono8,606
1778586894.388062954,images/frame_000607.pgm,1280,720,mono8,607
1778586894.454959869,images/frame_000608.pgm,1280,720,mono8,608
1778586894.521600008,images/frame_000609.pgm,1280,720,mono8,609
1778586894.588343859,images/frame_000610.pgm,1280,720,mono8,610
1778586894.655174971,images/frame_000611.pgm,1280,720,mono8,611
1778586894.722919941,images/frame_000612.pgm,1280,720,mono8,612
1778586894.788762808,images/frame_000613.pgm,1280,720,mono8,613
1778586894.855310917,images/frame_000614.pgm,1280,720,mono8,614
1778586894.922075033,images/frame_000615.pgm,1280,720,mono8,615
1778586894.988739967,images/frame_000616.pgm,1280,720,mono8,616
1778586895.055401802,images/frame_000617.pgm,1280,720,mono8,617
1778586895.122198820,images/frame_000618.pgm,1280,720,mono8,618
1778586895.188988924,images/frame_000619.pgm,1280,720,mono8,619
1778586895.255909920,images/frame_000620.pgm,1280,720,mono8,620
1778586895.322499990,images/frame_000621.pgm,1280,720,mono8,621
1778586895.389235020,images/frame_000622.pgm,1280,720,mono8,622
1778586895.456008911,images/frame_000623.pgm,1280,720,mono8,623
1778586895.522819996,images/frame_000624.pgm,1280,720,mono8,624
1778586895.589489937,images/frame_000625.pgm,1280,720,mono8,625
1778586895.656258821,images/frame_000626.pgm,1280,720,mono8,626
1778586895.723062992,images/frame_000627.pgm,1280,720,mono8,627
1778586895.789829016,images/frame_000628.pgm,1280,720,mono8,628
1778586895.856166840,images/frame_000629.pgm,1280,720,mono8,629
1778586895.922977924,images/frame_000630.pgm,1280,720,mono8,630
1778586895.989861012,images/frame_000631.pgm,1280,720,mono8,631
1778586896.056471825,images/frame_000632.pgm,1280,720,mono8,632
1778586896.123085022,images/frame_000633.pgm,1280,720,mono8,633
1778586896.189980030,images/frame_000634.pgm,1280,720,mono8,634
1778586896.256879807,images/frame_000635.pgm,1280,720,mono8,635
1778586896.323402882,images/frame_000636.pgm,1280,720,mono8,636
1778586896.390105009,images/frame_000637.pgm,1280,720,mono8,637
1778586896.456818819,images/frame_000638.pgm,1280,720,mono8,638
1778586896.523511887,images/frame_000639.pgm,1280,720,mono8,639
1778586896.590272903,images/frame_000640.pgm,1280,720,mono8,640
1778586896.657191038,images/frame_000641.pgm,1280,720,mono8,641
1778586896.723816872,images/frame_000642.pgm,1280,720,mono8,642
1778586896.790481806,images/frame_000643.pgm,1280,720,mono8,643
1778586896.857170820,images/frame_000644.pgm,1280,720,mono8,644
1778586896.924358845,images/frame_000645.pgm,1280,720,mono8,645
1778586896.990862846,images/frame_000646.pgm,1280,720,mono8,646
1778586897.057466984,images/frame_000647.pgm,1280,720,mono8,647
1778586897.124192953,images/frame_000648.pgm,1280,720,mono8,648
1778586897.190999031,images/frame_000649.pgm,1280,720,mono8,649
1778586897.257654905,images/frame_000650.pgm,1280,720,mono8,650
1778586897.324374914,images/frame_000651.pgm,1280,720,mono8,651
1778586897.391197920,images/frame_000652.pgm,1280,720,mono8,652
1778586897.457968950,images/frame_000653.pgm,1280,720,mono8,653
1778586897.524951935,images/frame_000654.pgm,1280,720,mono8,654
1778586897.591374874,images/frame_000655.pgm,1280,720,mono8,655
1778586897.658222914,images/frame_000656.pgm,1280,720,mono8,656
1778586897.725049019,images/frame_000657.pgm,1280,720,mono8,657
1778586897.791549921,images/frame_000658.pgm,1280,720,mono8,658
1778586897.858319998,images/frame_000659.pgm,1280,720,mono8,659
1778586897.991642952,images/frame_000661.pgm,1280,720,mono8,661
1778586898.058521986,images/frame_000662.pgm,1280,720,mono8,662
1778586898.125115871,images/frame_000663.pgm,1280,720,mono8,663
1778586898.191942930,images/frame_000664.pgm,1280,720,mono8,664
1778586898.258984804,images/frame_000665.pgm,1280,720,mono8,665
1778586898.325390816,images/frame_000666.pgm,1280,720,mono8,666
1778586898.392040968,images/frame_000667.pgm,1280,720,mono8,667
1778586898.458889008,images/frame_000668.pgm,1280,720,mono8,668
1778586898.525585890,images/frame_000669.pgm,1280,720,mono8,669
1778586898.592350006,images/frame_000670.pgm,1280,720,mono8,670
1778586898.659041882,images/frame_000671.pgm,1280,720,mono8,671
1778586898.725960016,images/frame_000672.pgm,1280,720,mono8,672
1778586898.792789936,images/frame_000673.pgm,1280,720,mono8,673
1778586898.859249830,images/frame_000674.pgm,1280,720,mono8,674
1778586898.926051855,images/frame_000675.pgm,1280,720,mono8,675
